expression,reading,meaning,tags,part_of_speech
さっと,さっと,suddenly; smoothly,JLPT_1,adverb
さっぱりする,さっぱりする,to refresh,JLPT_1,verb
悟る,さとる,to attain enlightenment; to understand,JLPT_1,verb
最中,さなか,in the middle of; midst,JLPT_1,noun
座標,ざひょう,coordinates,JLPT_1,noun
さほど,さほど,not so; not that much,JLPT_1,adverb
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,JLPT_1,verb
様,さま,state; way (a person does something); Mr. or Mrs.,JLPT_1,noun
寒気,さむけ,chill; shiver; cold,JLPT_1,noun
侍,さむらい,samurai,JLPT_1,noun
さも,さも,with gusto; with satisfaction,JLPT_1,adverb
作用,さよう,operation; effect; function,JLPT_1,noun
さらう (こどもを～),さらう (こどもを～),to kidnap,JLPT_1,noun
障る,さわる,to hinder; to interfere with; to affect,JLPT_1,verb
酸,さん,acid,JLPT_1,noun
山岳,さんがく,mountains,JLPT_1,noun
参議院,さんぎいん,House of Councilors,JLPT_1,noun
産休,さんきゅう,maternity leave,JLPT_1,noun
サンキュー,サンキュー,thank you,JLPT_1,noun
残金,ざんきん,remaining money,JLPT_1,noun
産後,さんご,postpartum; after childbirth,JLPT_1,noun
残酷,ざんこく,cruelty; harshness,JLPT_1,adjective
産出,さんしゅつ,yield; produce,JLPT_1,noun
参照,さんしょう,reference; consultation; consultation,JLPT_1,noun
参上,さんじょう,calling on; visiting,JLPT_1,noun
残高,ざんだか,(bank) balance; remainder,JLPT_1,noun
サンタクロース,サンタクロース,Santa Claus,JLPT_1,noun
桟橋,さんばし,wharf; jetty; pier,JLPT_1,noun
賛美,さんび,praise; adoration; glorification,JLPT_1,noun
山腹,さんぷく,hillside; mountainside,JLPT_1,noun
産婦人科,さんふじんか,maternity and gynecology department,JLPT_1,noun
産物,さんぶつ,product; result; fruit,JLPT_1,noun
山脈,さんみゃく,mountain range,JLPT_1,noun
仕上がり,しあがり,finish; end; completion,JLPT_1,noun
仕上,しあげ,end; finishing touches,JLPT_1,verb
仕上げる,しあげる,to finish up; to complete,JLPT_1,verb
飼育,しいく,breeding; raising; rearing,JLPT_1,noun
強いて,しいて,to dare; to insist,JLPT_1,adjective
シート,シート,seat; sheet,JLPT_1,noun
ジーパン,ジーパン,jeans,JLPT_1,noun
仕入れる,しいれる,to lay in stock; to replenish stock; to procure,JLPT_1,verb
強いる,しいる,to force; to compel; to coerce,JLPT_1,verb
潮,しお,tide,JLPT_1,noun
歯科,しか,dentistry,JLPT_1,noun
自我,じが,self; ego,JLPT_1,noun
自覚,じかく,self-conscious,JLPT_1,noun
仕掛,しかけ,device; trick; mechanism,JLPT_1,noun
仕掛ける,しかける,to lay; to set; to wage,JLPT_1,verb
しかしながら,しかしながら,however; nevertheless,JLPT_1,other
色彩,しきさい,color,JLPT_1,noun
式場,しきじょう,ceremonial hall; place of ceremony (e.g.; marriage),JLPT_1,noun
しきたり,しきたり,custom; conventional practice; tradition,JLPT_1,noun
事業,じぎょう,project; enterprise; business,JLPT_1,noun
軽蔑,けいべつ,scorn; disdain,JLPT_1,noun
経歴,けいれき,personal history; career,JLPT_1,noun
経路,けいろ,course; route; channel,JLPT_1,noun
けがらわしい,けがらわしい,filthy; unfair,JLPT_1,adjective
劇団,げきだん,troupe; theatrical company,JLPT_1,noun
激励,げきれい,encouragement,JLPT_1,noun
ゲスト,ゲスト,guest,JLPT_1,noun
獣,けだもの,beast; brute,JLPT_1,noun
決,けつ,decision; vote,JLPT_1,noun
決意,けつい,decision; determination,JLPT_1,noun
結核,けっかく,tuberculosis,JLPT_1,noun
決議,けつぎ,resolution; vote; decision,JLPT_1,noun
結合,けつごう,combination; union,JLPT_1,noun
決算,けっさん,balance sheet; settlement of accounts,JLPT_1,noun
月謝,げっしゃ,monthly tuition fee,JLPT_1,noun
決勝,けっしょう,finals (in sports),JLPT_1,noun
結晶,けっしょう,crystal; crystallization,JLPT_1,noun
結成,けっせい,formation,JLPT_1,noun
結束,けっそく,union; unity,JLPT_1,noun
げっそり,げっそり,being disheartened; losing weight,JLPT_1,adverb
決断,けつだん,decision; determination,JLPT_1,noun
月賦,げっぷ,monthly installment,JLPT_1,noun
欠乏,けつぼう,shortage,JLPT_1,noun
蹴飛ばす,けとばす,to kick away; to kick (someone),JLPT_1,verb
けなす,けなす,to speak ill of,JLPT_1,verb
煙たい,けむたい,smoky; feeling awkward,JLPT_1,adjective
煙る,けむる,to smoke (e.g.; fire),JLPT_1,verb
獣,けもの,beast; brute,JLPT_1,noun
家来,けらい,retainer; retinue; servant,JLPT_1,noun
下痢,げり,diarrhea,JLPT_1,noun
権威,けんい,authority; power; influence,JLPT_1,noun
兼業,けんぎょう,holding two jobs at the same time,JLPT_1,noun
原形,げんけい,original form; base form,JLPT_1,noun
原型,げんけい,prototype; model; archetypal,JLPT_1,noun
権限,けんげん,power; authority; jurisdiction,JLPT_1,noun
現行,げんこう,present; current; in operation,JLPT_1,noun
健在,けんざい,in good health; well,JLPT_1,adjective
原作,げんさく,original work,JLPT_1,noun
検事,けんじ,public prosecutor,JLPT_1,noun
原子,げんし,atom,JLPT_1,noun
元首,げんしゅ,ruler; sovereign,JLPT_1,noun
原書,げんしょ,original document,JLPT_1,noun
懸賞,けんしょう,offering prizes; winning; reward,JLPT_1,noun
健全,けんぜん,health; soundness; wholesome,JLPT_1,noun
元素,げんそ,element,JLPT_1,noun
同調,どうちょう,sympathy; agree with; alignment,JLPT_1,noun
到底,とうてい,(cannot) possibly,JLPT_1,adverb
動的,どうてき,dynamic; kinetic,JLPT_1,adjective
尊い,とうとい,precious; valuable; noble,JLPT_1,adjective
貴い,とうとい,precious; valuable; noble,JLPT_1,adjective
同等,どうとう,equality; equal; same rank,JLPT_1,noun
堂々,どうどう,magnificent; grand; impressive,JLPT_1,adverb
尊ぶ,とうとぶ,to value; to prize; to esteem,JLPT_1,verb
どうにか,どうにか,in some way or other; one way or another,JLPT_1,adverb
投入,とうにゅう,throw; investment; making (an electrical circuit),JLPT_1,noun
導入,どうにゅう,introduction; bringing in; leading in,JLPT_1,noun
当人,とうにん,the one concerned; the said person,JLPT_1,noun
同封,どうふう,enclosure (e.g.; in a letter),JLPT_1,noun
逃亡,とうぼう,escape,JLPT_1,noun
冬眠,とうみん,hibernation; winter sleep,JLPT_1,noun
同盟,どうめい,alliance; union; league,JLPT_1,noun
どうやら,どうやら,it seems like; somehow or other,JLPT_1,adverb
動力,どうりょく,power; motive power; dynamic force,JLPT_1,noun
登録,とうろく,registration; register; record,JLPT_1,noun
討論,とうろん,discussion; debate,JLPT_1,noun
遠ざかる,とおざかる,to go far off,JLPT_1,verb
遠回り,とおまわり,detour; roundabout way,JLPT_1,noun
トーン,トーン,tone,JLPT_1,noun
とかく,とかく,anyhow; anyway; in any case,JLPT_1,adverb
とがめる,とがめる,to blame; to rebuke,JLPT_1,verb
時折,ときおり,sometimes,JLPT_1,noun
とぎれる,とぎれる,to pause; to be interrupted,JLPT_1,verb
研ぐ,とぐ,to sharpen; to grind; to polish,JLPT_1,verb
特技,とくぎ,special talent; skill,JLPT_1,noun
独裁,どくさい,dictatorship; despotism,JLPT_1,noun
特産,とくさん,specialty; special product,JLPT_1,noun
独自,どくじ,original; peculiar; characteristic,JLPT_1,adjective
特集,とくしゅう,feature (e.g.; newspaper; special edition; report),JLPT_1,noun
独占,どくせん,monopoly,JLPT_1,noun
独創,どくそう,originality,JLPT_1,noun
