expression,reading,romaji,meaning,tags,part_of_speech,most_200_verb,transitivity
心細い,こころぼそい,kokorobosoi,helpless; hopeless; discouraging,JLPT_1,adjective,x,
試み,こころみ,kokoromi,trial; experiment,JLPT_1,noun,x,
試みる,こころみる,kokoromiru,to try; to test,JLPT_1,verb,x,transitive
快い,こころよい,kokoroyoi,pleasant; agreeable,JLPT_1,adjective,x,
誤差,ごさ,gosa,error,JLPT_1,noun,x,
ございます (かん),ございます (かん),gozaimasu(kan),to be (polite; to exist),JLPT_1,noun,x,
孤児,こじ,koji,orphan,JLPT_1,noun,x,
こじれる,こじれる,kojireru,to get complicated; to grow worse,JLPT_1,verb,x,intransitive
こす (みずを～),こす (みずを～),kosu(mizuwo~),to strain; to filter,JLPT_1,noun,x,
梢,こずえ,kozue,treetop,JLPT_1,noun,x,
個性,こせい,kosei,individuality; personality; idiosyncrasy,JLPT_1,noun,x,
戸籍,こせき,koseki,census; family register,JLPT_1,noun,x,
古代,こだい,kodai,ancient times,JLPT_1,noun,x,
こたつ,こたつ,kotatsu,table with heater; (originally) charcoal brazier in a floor well,JLPT_1,noun,x,
こだわる,こだわる,kodawaru,to fuss over; to be particular about,JLPT_1,verb,x,intransitive
誇張,こちょう,kochou,exaggeration,JLPT_1,noun,x,
こつ (をつかむ),こつ (をつかむ),kotsu(wotsukamu),secret; trick; hang,JLPT_1,noun,x,
滑稽,こっけい,kokkei,funny; humorous; comical,JLPT_1,noun,x,
国交,こっこう,kokkou,diplomatic relations,JLPT_1,noun,x,
骨董品,こっとうひん,kottouhin,curio,JLPT_1,noun,x,
固定,こてい,kotei,fixation; fixing (e.g.; salary; capital),JLPT_1,noun,x,
事柄,ことがら,kotogara,matter; thing; affair; circumstance,JLPT_1,noun,x,
孤独,こどく,kodoku,isolation; loneliness; solitude,JLPT_1,adjective,x,
ことごとく,ことごとく,kotogotoku,altogether; entirely,JLPT_1,adverb,x,
言付け,ことづけ,kotozuke,to leave a message,JLPT_1,noun,x,
殊に,ことに,kotoni,especially; above all,JLPT_1,adverb,x,
粉々,こなごな,konagona,in very small pieces,JLPT_1,noun,x,
好ましい,このましい,konomashii,nice; likable; desirable,JLPT_1,adjective,x,
碁盤,ごばん,goban,Go board,JLPT_1,noun,x,
個別,こべつ,kobetsu,particular case,JLPT_1,adjective,x,
ごまかす,ごまかす,gomakasu,to deceive; to falsify; to misrepresent,JLPT_1,verb,x,transitive
細やか,こまやか,komayaka,meager; modest,JLPT_1,adjective,x,
コマーシャル,コマーシャル,commercial,a commercial,JLPT_1,noun,x,
込める,こめる,komeru,to include; to put into,JLPT_1,verb,x,both
コメント,コメント,comment,comment,JLPT_1,noun,x,
籠もる,こもる,komoru,to seclude oneself; to be confined in,JLPT_1,verb,x,intransitive
固有,こゆう,koyuu,characteristic; tradition; peculiar,JLPT_1,noun,x,
暦,こよみ,koyomi,calendar; almanac,JLPT_1,noun,x,
凝らす,こらす,korasu,to concentrate; to devote; to peer into,JLPT_1,verb,x,transitive
ごらんなさい (かん),ごらんなさい (かん),gorannasai(kan),look; (please) try to do,JLPT_1,noun,x,
孤立,こりつ,koritsu,isolation; helplessness,JLPT_1,noun,x,
懲りる,こりる,koriru,to learn by experience; to be disgusted with,JLPT_1,verb,x,intransitive
凝る,こる,koru,to stiffen; to harden,JLPT_1,verb,x,intransitive
根気,こんき,konki,patience; perseverance; energy,JLPT_1,noun,x,
根拠,こんきょ,konkyo,basis; foundation,JLPT_1,noun,x,
混血,こんけつ,konketsu,mixed race; mixed parentage,JLPT_1,noun,x,
コンタクト (レンズ),コンタクト (レンズ),contact(lens),contact; contact lens,JLPT_1,noun,x,
昆虫,こんちゅう,konchuu,insect; bug,JLPT_1,noun,x,
根底,こんてい,kontei,root; basis; foundation,JLPT_1,noun,x,
混同,こんどう,kondou,confusion; mixing; merger,JLPT_1,noun,x,
コントラスト,コントラスト,contrast,contrast,JLPT_1,noun,x,
コントロール,コントロール,control,control,JLPT_1,noun,x,
コンパス,コンパス,kompas,compass,JLPT_1,noun,x,
根本,こんぽん,konpon,foundation; root; base,JLPT_1,noun,x,
財,ざい,zai,fortune; riches,JLPT_1,noun,x,
再会,さいかい,saikai,meeting again; reunion,JLPT_1,noun,x,
災害,さいがい,saigai,calamity; disaster; misfortune,JLPT_1,noun,x,
細菌,さいきん,saikin,bacillus; bacterium; germ,JLPT_1,noun,x,
細工,さいく,saiku,work; craftsmanship; trick,JLPT_1,noun,x,
採掘,さいくつ,saikutsu,mining,JLPT_1,noun,x,
サイクル,サイクル,cycle,cycle,JLPT_1,noun,x,
採決,さいけつ,saiketsu,vote; roll call,JLPT_1,noun,x,
再建,さいけん,saiken,(temple or shrine) rebuilding,JLPT_1,noun,x,
再現,さいげん,saigen,reproduction; return; revival,JLPT_1,noun,x,
財源,ざいげん,zaigen,source of funds; resources; finances,JLPT_1,noun,x,
在庫,ざいこ,zaiko,stockpile; stock,JLPT_1,noun,x,
採算,さいさん,saisan,profit,JLPT_1,noun,x,
サイズ,サイズ,size,size,JLPT_1,noun,x,
再生,さいせい,saisei,playback; regeneration; resuscitation,JLPT_1,noun,x,
財政,ざいせい,zaisei,economy; financial affairs,JLPT_1,noun,x,
最善,さいぜん,saizen,the very best,JLPT_1,noun,x,
採択,さいたく,saitaku,adoption; selection; choice,JLPT_1,noun,x,
栽培,さいばい,saibai,cultivation,JLPT_1,noun,x,
再発,さいはつ,saihatsu,return; relapse; reoccurrence,JLPT_1,noun,x,
細胞,さいぼう,saibou,cell,JLPT_1,noun,x,
採用,さいよう,saiyou,use; adopt,JLPT_1,noun,o,transitive
遮る,さえぎる,saegiru,to interrupt; to intercept; to obstruct,JLPT_1,verb,x,transitive
さえずる,さえずる,saezuru,to sing; to chirp; to twitter,JLPT_1,verb,x,intransitive
冴える,さえる,saeru,to be clear; to be bright; to be skillful,JLPT_1,verb,x,intransitive
竿,さお,sao,rod; pole (e.g.; for drying laundry),JLPT_1,noun,x,
栄える,さかえる,sakaeru,to flourish; to prosper; to thrive,JLPT_1,verb,x,intransitive
差額,さがく,sagaku,balance; difference; margin,JLPT_1,noun,x,
杯,さかずき,sakazuki,wine cup,JLPT_1,noun,x,
逆立ち,さかだち,sakadachi,handstand; headstand,JLPT_1,noun,x,
さきに (いぜん),さきに (いぜん),sakini(izen),before; earlier than; previously,JLPT_1,noun,x,
詐欺,さぎ,sagi,fraud; swindle,JLPT_1,noun,x,
削減,さくげん,sakugen,cut; reduction,JLPT_1,noun,x,
錯誤,さくご,sakugo,mistake,JLPT_1,noun,x,
作戦,さくせん,sakusen,military operations; tactics; strategy,JLPT_1,noun,x,
叫び,さけび,sakebi,shout; scream; outcry,JLPT_1,noun,x,
捧げる,ささげる,sasageru,to lift up; to give; to offer,JLPT_1,verb,x,transitive
差し掛かる,さしかかる,sashikakaru,to come near to; to approach,JLPT_1,verb,x,intransitive
指図,さしず,sashizu,instruction; mandate,JLPT_1,noun,x,
差し出す,さしだす,sashidasu,to present; to submit; to hold out,JLPT_1,verb,x,transitive
差し支える,さしつかえる,sashitsukaeru,to interfere; to hinder,JLPT_1,verb,x,intransitive
授ける,さずける,sazukeru,to grant; to award; to teach,JLPT_1,verb,x,transitive
摩する,さする,sasuru,to rub; to stroke,JLPT_1,verb,x,transitive
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),sazo(sazoya.sazokashi),I am sure; certainly; no doubt,JLPT_1,noun,x,
定まる,さだまる,sadamaru,to become settled; to be fixed,JLPT_1,verb,x,intransitive
定める,さだめる,sadameru,to decide; to determine,JLPT_1,verb,x,transitive
座談会,ざだんかい,zadankai,symposium; round-table discussion,JLPT_1,noun,x,
雑,ざつ,zatsu,rough; crude,JLPT_1,noun,x,
雑貨,ざっか,zakka,miscellaneous goods; general goods,JLPT_1,noun,x,
殺人,さつじん,satsujin,murder,JLPT_1,noun,x,
察する,さっする,sassuru,to guess; to sense; to judge,JLPT_1,verb,x,transitive
雑談,ざつだん,zatsudan,chatting; idle talk,JLPT_1,noun,x,
さっと,さっと,satto,suddenly; smoothly,JLPT_1,adverb,x,
さっぱりする,さっぱりする,sapparisuru,to refresh,JLPT_1,verb,x,intransitive
悟る,さとる,satoru,to attain enlightenment; to understand,JLPT_1,verb,x,both
最中,さなか,sanaka,in the middle of; midst,JLPT_1,noun,x,
座標,ざひょう,zahyou,coordinates,JLPT_1,noun,x,
さほど,さほど,sahodo,not so; not that much,JLPT_1,adverb,x,
サボる,サボる,saboru,to cut (skip) classes; to loaf on the job; to idle away one's time,JLPT_1,verb,x,both
様,さま,sama,state; way (a person does something); Mr. or Mrs.,JLPT_1,noun,x,
寒気,さむけ,samuke,chill; shiver; cold,JLPT_1,noun,x,
侍,さむらい,samurai,samurai,JLPT_1,noun,x,
さも,さも,samo,with gusto; with satisfaction,JLPT_1,adverb,x,
作用,さよう,sayou,operation; effect; function,JLPT_1,noun,x,
さらう (こどもを～),さらう (こどもを～),sarau(kodomowo~),to kidnap,JLPT_1,noun,x,
障る,さわる,sawaru,to hinder; to interfere with; to affect,JLPT_1,verb,x,intransitive
酸,さん,san,acid,JLPT_1,noun,x,
山岳,さんがく,sangaku,mountains,JLPT_1,noun,x,
参議院,さんぎいん,sangiin,House of Councilors,JLPT_1,noun,x,
産休,さんきゅう,sankyuu,maternity leave,JLPT_1,noun,x,
サンキュー,サンキュー,thankyou,thank you,JLPT_1,noun,x,
残金,ざんきん,zankin,remaining money,JLPT_1,noun,x,
産後,さんご,sango,postpartum; after childbirth,JLPT_1,noun,x,
残酷,ざんこく,zankoku,cruelty; harshness,JLPT_1,adjective,x,
産出,さんしゅつ,sanshutsu,yield; produce,JLPT_1,noun,x,
参照,さんしょう,sanshou,reference; consultation; consultation,JLPT_1,noun,x,
参上,さんじょう,sanjou,calling on; visiting,JLPT_1,noun,x,
残高,ざんだか,zandaka,(bank) balance; remainder,JLPT_1,noun,x,
